,0
0,7.580449541284403
1,6.745133027522936
2,7.071999999999999
3,6.87801376146789
4,6.997495412844034
5,6.607935779816513
6,7.380940366972473
7,7.146811926605504
8,7.1839266055045865
9,6.700077981651376
10,6.7579862385321094
11,6.9861651376146785
12,6.825036697247704
13,6.88330733944954
14,7.118481651376148
15,7.118481651376148
16,7.077963302752292
17,6.605743119266056
18,6.338022935779816
19,6.84693119266055
20,7.024307339449541
21,6.472926605504586
22,6.0578990825688095
23,6.117348623853212
24,6.112045871559632
25,6.022449541284403
26,7.204518348623853
27,7.066224770642203
28,6.307678899082568
29,6.30682110091743
30,5.502761467889909
31,5.526302752293579
32,5.242646788990826
33,5.566490825688073
34,5.2344724770642195
35,6.938536697247707
36,6.945610091743119
37,6.770633027522935
38,6.007431192660552
39,5.999211009174313
40,5.999211009174313
41,5.999211009174313
42,6.00967889908257
43,5.936967889908258
44,5.999211009174313
45,6.490059633027523
46,6.977353211009175
47,6.796321100917431
48,6.900146788990825
49,6.805431192660551
