,0
0,7.320160550458708
1,7.152876146788989
2,6.9866376146789015
3,7.607825688073392
4,7.346201834862383
5,7.3813715596330285
6,8.084903669724767
7,7.992197247706415
8,7.202600917431189
9,7.39790366972477
10,7.291458715596325
11,7.3188853211009155
12,7.321477064220181
13,7.356096330275228
14,7.457954128440363
15,7.450339449541281
16,7.299463302752291
17,6.819435779816511
18,7.006642201834864
19,7.508018348623851
20,7.061532110091744
21,7.1253211009174295
22,7.039582568807343
23,7.154389908256883
24,6.694944954128442
25,6.762651376146789
26,7.877518348623852
27,6.7559495412844
28,6.828394495412843
29,6.225834862385319
30,5.302298165137613
31,5.33011467889908
32,5.2824311926605505
33,5.42318348623853
34,4.988922018348621
35,6.906706422018349
36,6.846256880733944
37,6.685876146788992
38,6.1331100917431165
39,6.0553302752293545
40,6.0553302752293545
41,6.082197247706418
42,6.091848623853209
43,6.104600917431191
44,6.0553302752293545
45,6.868724770642198
46,6.977385321100915
47,6.837848623853209
48,6.8814541284403665
49,7.594614678899083
